"IMB_1","IMB_2","IMB_3","ITP_1","ITP_2","ITP_3","LRF_1","LRF_2","LRF_3","MAC_1","MAC_2","MAC_3"
-3.16445866483364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3.32437523906087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3.52343281454483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.702212275002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3.01206492817489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3.52764534965047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3.43578882643177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3.28085761722408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3.30225743380725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3.20917304940682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3.30225743380725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3.20917304940682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3.30225743380725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3.20917304940682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,-4.41523992824854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,-4.72123784085532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,-5.11606217854266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,-3.58383142997398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,-4.13260427896693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,-5.12458862324466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,-4.94028485517814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,-4.63699594291797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,-4.67833032375585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,-4.49981687700017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,-4.67833032375585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,-4.49981687700017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,-4.67833032375585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,-4.49981687700017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,4.61512051684126,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,-2.58784343838005,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,-2.55275303588342,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,-2.78715834561597,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,-3.91884623077627,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,-3.07946176908552,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,-2.68252866387213,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,-2.75545632349948,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,-2.68252866387213,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,-2.75545632349948,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,-2.68252866387213,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,-2.75545632349948,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,3.0134215062853,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,-3.38971541293074,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,-3.33104184353574,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,-3.73090981559738,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,-5.94855143630187,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,-4.2565394217042,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,-3.55010569797512,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,-3.6757274405348,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,-3.55010569797512,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,-3.6757274405348,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,-3.55010569797512,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,-3.6757274405348,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,-2.1199135974358,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,-3.81607666438094,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,-2.29243676194223,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,-2.83649171203685,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,-2.10727327616185,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,-2.54306556396153,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,-2.79078527995645,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,-2.24708416313317,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,-2.03377243341851,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,-2.64017594162109,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,-5.72581277661774,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,-2.90839825306594,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,-3.81748123385288,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,-2.62088547996,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,-3.31491612353835,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,-3.73724540052139,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,-2.83698931809797,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,-2.50967657636104,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,0.141864946901494,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,-0.133427398032148,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,0.286376720850966,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,-0.77113250609628,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,-0.614962813917606,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,-0.315772952618307,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,-0.270817089142944,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,-1.27183774074231,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,-0.432747922376437,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,-0.711824521228675,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,-0.595574108483236,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,-0.260456086198189,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,0.139871280508231,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,-0.135223627238441,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,0.2783299165002,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,-0.833775641554654,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,-0.654380051732571,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,-0.325957475074398,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,-0.278285506256015,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,-1.44822862033175,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,-0.452027167793143,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,-0.7649865269733,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,-0.63249628709375,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,-0.267359164616914,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0.194712800583252,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0.0769295591590946,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0.686880586409718,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,-0.246750003989884,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,-0.291838699268068,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,-0.498646754847124,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,-0.681732575744691,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,-0.170580750590935,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0.497388346575465,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0.288435288713178,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0.590567239962191,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0.285826101202169,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0.0622712653545299,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0.275263024322197,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.190970232092433,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0763407670209232,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.641788376353607,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.25293996517317,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.300523834052366,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5243592255589,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.730394792586945,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.173523904157235,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.473449170805773,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.280273492032505,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.557023812248491,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27780991900402,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0618850991054826,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.267823202299251,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0807015079681365,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.628232055182566,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.165713571191711,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.128207305050682,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.131386266482217,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0959136340528154,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.174600156694668,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.180233545080589,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0190462334341568,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.117771480034062,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0823538763675726,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.507897741699441,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.337805525055347,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0983174715480245,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.446960795646309,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1334227617244,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.396554190211474,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0757639579262246,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.141411884819033,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.162950986147857,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.369848478020639,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.186266929551551,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.264716112089128,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0813562994073347
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.590366844091012
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.162997560434676
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.129865155934041
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.133127721677142
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0949995457665148
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.171586812412888
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17702381431808
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.019082555440143
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116395294088864
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0830358314276958
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.482953441136027
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.34947816792538
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0973571437940307
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.427565605658956
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13165832760555
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.381236288400764
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0763408859985571
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.139430872547581
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.160324295871286
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.383870870054747
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.189779954719588
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.257830696324691
